id,grad_yr,type,type2,parent,degree,major,spouse_type,spouse_type2,FSA,median_income,title,affinity,latest_date,pldg_blc,cons_giving,fy16,fy15,fy14,ttl_giving
84792,1977,I     ,A     ,Parent,BS    ,Chemistry,I     ,A     ,M3C,53636,Mgr. of Quality Assurance                         ,1, ,0,0,0,0,0,0
84923,1973,I     ,A     , ,BS    ,GRP SS Phil,      ,      ,M5A,43816,Self employed                                     ,1, ,0,0,0,0,0,0
85036,1971,I     ,A     ,Parent,BA    ,French,      ,      ,M5A,43816,Parish Administrator                              ,1, ,0,0,0,0,0,0
84948,1972,I     ,A     , ,BS    ,Art,      ,      ,M3K,60887,                                                  ,0, ,0,0,0,0,0,0
84975,1971,I     ,A     ,Parent,BS    ,Physical Education,      ,      ,M5R,96285,Teacher                                           ,2, ,0,0,0,0,0,0
85137,1973,I     ,A     , ,BA    ,Philosophy,I     ,A     ,M1B,65192,                                                  ,0, ,0,0,0,0,0,0
85001,1967,I     ,A     , ,BA    ,Mathematics,      ,      ,M5E,94414,Retired                                           ,0,10/15/2008,0,0,0,0,0,150
85176,1989,I     ,A     , ,BSN   ,Nursing - RN,      ,      ,M2N,68333,Medical Services Mgr.                             ,2, ,0,0,0,0,0,0
85267,1975,I     ,A     , ,BS    ,Environmental Studies,I     ,A     ,M5J,92668,                                                  ,0,11/30/2005,0,0,0,0,0,125
85287,1973,I     ,A     ,Parent,BS    ,GRP SS Pol Sci,      ,      ,M6J,63464,Special Education Teacher                         ,3,11/8/2009,0,0,0,0,0,775
85223,1971,I     ,A     , ,BS    ,GRO Soc Science,I     ,I     ,M5R,96285,VP of Human Resources        ,13,10/2/2015,0,22,500,500,500,7611
85150,1983,I     ,A     , ,BS    ,Political Science,      ,      ,M5G,51478,Attorney                                          ,2, ,0,0,0,0,0,0
85334,1973,I     ,A     , ,BA    ,Economics,      ,      ,M6P,68781,                                                  ,0, ,0,0,0,0,0,0
85122,1980,I     ,A     , ,BBA   ,Accounting,      ,      ,M5J,92668,                                                  ,6,5/12/2004,0,0,0,0,0,340
85456,1971,I     ,A     , ,BS    ,Group SCI Math,I     ,I     ,M5S,80977,                                                  ,0,2/27/2003,0,0,0,0,0,500
85493,1972,I     ,A     , ,BA    ,Anthropology,I     ,A     ,M4B,63005,Research Associate                                ,5,11/12/2015,0,0,100,0,100,1600
85495,1975,I     ,A     ,Parent,BS    ,GRP SS Hist,      ,      ,M3C,53636,                                                  ,1,9/27/2007,0,0,0,0,0,40
85548,1974,I     ,A     , ,BS    ,Physical Education,      ,      ,M4C,60310,                                                  ,1, ,0,0,0,0,0,0
85747,1975,I     ,A     , ,BBA   ,Business General,      ,      ,M5B,63763,VP/Branch Manager                                 ,1, ,0,0,0,0,0,0
85856,1973,I     ,A     ,Parent,BS    ,Biology,I     ,A     ,M3N,45065,                                                  ,2,10/7/2012,0,0,0,0,0,5200
85684,1974,I     ,A     , ,BS    ,Biology,I     ,A     ,M5G,51478,Bio. & Chem. Teacher                              ,1, ,0,0,0,0,0,0
85938,1973,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,M6K,43527,Director of Counseling                            ,1, ,0,0,0,0,0,0
85834,1975,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M4B,63005,                                                  ,0, ,0,0,0,0,0,0
86035,1967,I     ,A     ,Parent,BA    ,Sociology,      ,      ,M6P,68781,Retired Police Officer,1, ,0,0,0,0,0,0
85861,1974,I     ,A     , ,BA    ,Group SS Soc,      ,      ,M6J,63464,Elementary Teacher                                ,0, ,0,0,0,0,0,0
85981,1975,I     ,A     , ,BS    ,Environmental Studies,      ,      ,M1L,48164,                                                  ,1, ,0,0,0,0,0,0
86048,1972,I     ,A     , ,MED   ,GRO Soc Science,      ,      ,M5S,80977,Special Educ Teacher                              ,0, ,0,0,0,0,0,0
86052,1972,I     ,A     , ,BA    ,Group SS Soc,      ,      ,M4S,95168,Elementary Teacher                                ,0, ,0,0,0,0,0,0
85933,1979,I     ,A     , ,BS    ,Environmental Studies,      ,      ,M6L,51191,Owner                                             ,2, ,0,0,0,0,0,0
85928,1972,I     ,A     ,Parent,BA    ,Art,      ,      ,M5B,63763,                                                  ,1, ,0,0,0,0,0,0
85982,1973,I     ,A     , ,BBA   ,Business General,      ,      ,M1B,65192,President                                         ,1, ,0,0,0,0,0,0
86027,1972,I     ,A     ,Parent,BS    ,Sociology,I     ,A     ,M2N,68333,                                                  ,5,12/17/2015,0,0,50,50,0,215
86022,1974,I     ,A     , ,BS    ,Political Science,      ,      ,M6P,68781,                                                  ,0, ,0,0,0,0,0,0
86195,1972,I     ,A     , ,BA    ,Group SS Soc,      ,      ,M3B,111062,Reading Teacher                                   ,0, ,0,0,0,0,0,0
86269,1969,I     ,A     , ,BS    ,Biology,      ,      ,M1E,64284,Plant Manager             ,15,12/3/2015,0,19,1000,1000,1000,11780
86208,1969,I     ,A     , ,BA    ,English Language and Literature,      ,      ,M6B,63133,Executive Director                                ,3,5/5/2015,0,0,0,100,0,400
86314,1976,I     ,A     , ,BA    ,Music,      ,      ,M5J,92668,Spanish Teacher                                   ,5,9/27/2011,0,0,0,0,0,150
86436,1974,I     ,A     ,Parent,BBA   ,Business General,      ,      ,M6H,57309,Purchasing                                        ,1, ,0,0,0,0,0,0
86575,1972,I     ,A     ,Parent,BS    ,Medical Technology,      ,      ,M6L,51191,Medical Technologist                              ,1, ,0,0,0,0,0,0
86696,1977,I     ,A     , ,BS    ,Physical Education,      ,      ,M6L,51191,Teacher                                           ,2, ,0,0,0,0,0,0
86697,1971,I     ,A     , ,BA    ,Biology,      ,      ,M6R,78744,                                                  ,1,9/15/2006,0,0,0,0,0,330
86760,1967,I     ,A     , ,BA    ,German,I     ,I     ,M3H,68796,Teacher                                           ,41,1/26/2015,400,0,0,400,950,5654
86655,1971,I     ,A     , ,BS    ,Economics,      ,      ,M6H,57309,                                                  ,11,11/12/2015,0,11,100,25,25,990
86922,1976,I     ,A     , ,BS    ,Anthropology,      ,      ,M3B,111062,Preservation Officer                      ,1, ,0,0,0,0,0,0
86974,1971,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,M1L,48164,Teacher                                           ,0, ,0,0,0,0,0,0
86926,1978,I     ,A     , ,BS    ,Art,I     ,P     ,M3C,53636,                                                  ,1, ,0,0,0,0,0,0
87038,1971,I     ,A     , ,BS    ,Sociology,      ,      ,M4S,95168,                                                  ,1, ,0,0,0,0,0,0
86977,1966,I     ,A     , ,BA    ,History,      ,      ,M3N,45065,Dir of  Multimedia Ctr ,7, ,0,0,0,0,0,0
87192,1974,I     ,A     , ,BA    ,Sociology,      ,      ,M3H,68796,                                                  ,1, ,0,0,0,0,0,0
87431,1974,I     ,A     ,Parent,MBA   ,Accounting,I     ,A     ,M3C,53636,Real Estate Assoc.                                ,3, ,0,0,0,0,0,0
87462,1977,I     ,A     , ,BS    ,Physical Education,I     ,A     ,M2N,68333,Tchr  Coach                                       ,1, ,0,0,0,0,0,0
87547,1971,I     ,A     , ,BA    ,Sociology,I     ,I     ,M5R,96285,                                                  ,1, ,0,0,0,0,0,0
87570,1975,I     ,A     , ,BPH   ,Environmental Studies,      ,      ,M6R,78744,Attorney                                          ,0,6/13/1991,0,0,0,0,0,600
87545,1970,I     ,A     , ,BS    ,GRP SS Econ,I     ,A     ,M6K,43527,Sales & Office Design                             ,17,10/7/2015,0,24,100,20000,33000,59285
87713,1977,I     ,A     , ,BS    ,Physical Education,      ,      ,M4W,129818,Chiropractor                                      ,1, ,0,0,0,0,0,0
87729,1975,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M4P,76675,Coordinator                                       ,2, ,0,0,0,0,0,0
87744,1973,I     ,A     , ,BS    ,Physical Education,      ,      ,M6P,68781,Elementary Teacher                                ,3, ,0,0,0,0,0,0
87697,1972,I     ,A     ,Parent,BA    ,History,      ,      ,M6L,51191,Principal                                         ,1, ,0,0,0,0,0,0
87637,1975,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M5E,94414,Superintendent                                    ,1, ,0,0,0,0,0,0
87901,1973,I     ,A     , ,BS    ,Criminal Justice,      ,      ,M5R,96285,Forensic Section Chief                            ,0, ,0,0,0,0,0,0
87919,1976,I     ,A     , ,BS    ,Psychology,      ,      ,M6L,51191,Social Worker                                     ,1, ,0,0,0,0,0,0
88081,1973,I     ,A     ,Parent,BA    ,English Language and Literature,I     ,A     ,M2N,68333,Attorney                                          ,2, ,0,0,0,0,0,0
87985,1973,I     ,A     , ,BS    ,Physical Education,      ,      ,M6P,68781,Principle                                         ,3, ,0,0,0,0,0,0
88087,1973,I     ,A     , ,BS    ,Geology,      ,      ,M1B,65192,Geologist                                         ,1, ,0,0,0,0,0,0
88065,1971,I     ,A     ,Parent,BS    ,Group SS Soc,      ,      ,M2N,68333,Executive Director                                ,1, ,0,0,0,0,0,0
88006,1975,I     ,A     , ,BS    ,Accounting,      ,      ,M2N,68333,                                                  ,0, ,0,0,0,0,0,0
88186,1987,I     ,A     ,Parent,MED   ,Special Education,I     ,A     ,M1L,48164,                                                  ,1, ,0,0,0,0,0,0
88204,1971,I     ,A     ,Parent,BA    ,English Language and Literature,I     ,A     ,M5J,92668,Sales Rep                                         ,4,6/3/2014,0,3,0,0,20,345
88315,1974,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M1H,58876,Prison Guard/Counselor                            ,2, ,0,0,0,0,0,0
88382,1969,I     ,A     , ,BA    ,Psychology,      ,      ,M4N,156174,Professor                                         ,3, ,0,0,0,0,0,0
88297,1973,I     ,A     , ,BS    ,GRO Soc Science,      ,      ,M5S,80977,Teacher                                           ,2, ,0,0,0,0,0,0
88370,1975,I     ,A     , ,BS    ,Art,      ,      ,M5J,92668,Teacher/Prog. Coord.                              ,1, ,0,0,0,0,0,0
88459,1974,I     ,A     , ,BA    ,Spanish,      ,      ,M2P,132447,Teacher                                           ,1, ,0,0,0,0,0,0
88355,1974,I     ,A     , ,BPH   ,Environmental Studies,I     ,A     ,M4P,76675,Violinist                            ,5, ,0,0,0,0,0,1735
88538,1975,I     ,A     ,Parent,BS    ,Group SS Soc,      ,      ,M2N,68333,Teacher                                           ,1, ,0,0,0,0,0,0
88604,1973,I     ,A     , ,BS    ,Sociology,      ,      ,M1N,75900,Case Cst/Disability Exam.                         ,0, ,0,0,0,0,0,0
88419,1975,I     ,A     , ,BA    ,English Language and Literature,I     ,A     ,M6L,51191,                                                  ,2,7/13/2005,0,0,0,0,0,180
88520,1973,I     ,A     , ,BBA   ,Business General,      ,      ,M5S,80977,                                                  ,0, ,0,0,0,0,0,0
88673,1977,I     ,A     ,Parent,BS    ,Art,      ,      ,M5T,40061,Realtor                                           ,2, ,0,0,0,0,0,0
88663,1971,I     ,A     , ,BS    ,Sociology,      ,      ,M6B,63133,Pastor                                            ,2, ,0,0,0,0,0,0
88786,1973,I     ,A     ,Parent,BA    ,English Language and Literature,      ,      ,M5S,80977,Teacher                                           ,1, ,0,0,0,0,0,0
88832,1977,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M5J,92668,                                                  ,3,10/5/2011,0,0,0,0,0,610
88874,1971,I     ,A     , ,BS    ,Biology,      ,      ,M4C,60310,Mgr./Diag. Radiology                              ,1, ,0,0,0,0,0,0
88865,1972,I     ,A     , ,BS    ,Chemistry,      ,      ,M1B,65192,Sr. Research Manager                              ,0, ,0,0,0,0,0,0
88892,1974,I     ,A     , ,BS    ,Nursing,      ,      ,M5T,40061,Self-Employed                                     ,0, ,0,0,0,0,0,0
88935,1974,I     ,A     , ,BBA   ,Business General,      ,      ,M6M,49028,President/Auto Dealer                             ,1, ,0,0,0,0,0,0
89117,1974,I     ,A     , ,BA    ,Music,      ,      ,M3J,49625,                                                  ,1, ,0,0,0,0,0,0
89258,1968,I     ,A     , ,BA    ,Economics,I     ,I     ,M3K,60887,Self-Employed: Construction                       ,10,12/17/2015,0,28,400,400,200,10200
89199,1976,I     ,A     ,Parent,BS    ,Group SS Soc,      ,      ,M3C,53636,Director                                          ,1, ,0,0,0,0,0,0
89084,1977,I     ,A     ,Parent,BS    ,Biology,      ,      ,M4B,63005,Manufacturing Eng.                                ,7,5/23/2012,0,0,0,0,0,242
89177,1980,I     ,A     ,Parent,BA    ,Music,I     ,A     ,M3H,68796,Ofc  Manager                                      ,2, ,0,0,0,0,0,0
89356,1974,I     ,A     , ,BS    ,Physical Education,I     ,I     ,M1B,65192,                                                  ,14,10/14/2015,0,3,600,50,600,2310
89470,1972,I     ,A     ,Parent,BS    ,Group SS Soc,      ,      ,M5T,40061,Special Educ  Tchr                                ,1, ,0,0,0,0,0,0
89436,1982,I     ,A     ,Parent,BS    ,Music,I     ,P     ,M5T,40061,Dir  of Music                   ,3, ,0,0,0,0,0,0
89605,1971,I     ,A     ,Parent,BA    ,English Language and Literature,I     ,A     ,M6P,68781,Interpreter for Courts                            ,1, ,0,0,0,0,0,0
89594,1973,I     ,A     ,Parent,BS    ,GRO Soc Science,      ,      ,M6L,51191,Financial Cnslt                                   ,1, ,0,0,0,0,0,0
89623,1977,I     ,A     ,Parent,BBA   ,Marketing,      ,      ,M6J,63464,Owner                                             ,1, ,0,0,0,0,0,0
89684,1973,I     ,A     , ,BS    ,Mathematics,      ,      ,M6H,57309,Substitute Teacher                                ,0, ,0,0,0,0,0,0
89900,1998,I     ,A     , ,MED   ,General Education,      ,      ,M1H,58876,Stay At Home Mom                                  ,2, ,0,0,0,0,0,0
90384,2004,I     ,A     , ,BA    ,Psychology,      ,      ,M5T,40061,International Service Coordinator                 ,1, ,0,0,0,0,0,25
90722,1995,I     ,A     , ,MSN   ,Nursing,      ,      ,M5S,80977,                                                  ,1, ,0,0,0,0,0,0
91167,2002,I     ,A     , ,BS    ,Statistics,      ,      ,M4L,74448,Systems Manager                                   ,1,11/23/2009,0,0,0,0,0,30
91606,1994,I     ,A     , ,BA    ,Political Science,      ,      ,M5J,92668,                                                  ,2, ,0,0,0,0,0,0
91604,1975,I     ,A     , ,BS    ,Physical Education,      ,      ,M1S,58417,Teacher  PE & Coach Track                         ,3,7/22/2009,0,0,0,0,0,125
91985,1986,I     ,A     , ,BS    ,Biomedical Communications,S     ,A     ,M6M,49028,RN                                                ,6,12/9/2015,0,7,100,0,150,1420
91924,1994,I     ,A     , ,MED   ,General Education,I     ,A     ,M4V,120678,3rd Grade Teacher                                 ,0, ,0,0,0,0,0,0
92282,2002,I     ,A     , ,MBA   ,Business General,I     ,A     ,M2N,68333,                                                  ,0, ,0,0,0,0,0,0
92435,2002,I     ,A     , ,BS    ,Photography,      ,      ,M5J,92668,Photographer/Lab Technition                       ,2, ,0,0,0,0,0,0
92468,1989,I     ,A     , ,BA    ,Economics,I     ,A     ,M4V,120678,                                                  ,0, ,0,0,0,0,0,0
92774,2002,I     ,A     , ,BBA   ,Accounting,I     ,A     ,M6P,68781,Marketing                                         ,1, ,0,0,0,0,0,0
92898,2005,I     ,A     , ,BSN   ,Nursing - RN,      ,      ,M2N,68333,                                                  ,0, ,0,0,0,0,0,0
93052,1987,I     ,A     , ,BS    ,Medical Technology,I     ,A     ,M5J,92668,Market Researcher                                 ,6,12/23/2015,0,0,50,0,0,1750
93160,1997,I     ,A     , ,BS    ,Health Science,      ,      ,M6H,57309,                                                  ,3,10/5/2011,0,0,0,0,0,245
93245,2005,I     ,A     , ,BS    ,Physical Education,      ,      ,M3J,49625,6th-9th Grade Physical Education and Health Teache,2, ,0,0,0,0,0,0
93274,1998,I     ,A     , ,BS    ,Health Science,I     ,A     ,M5R,96285,Occupation Therapist                              ,1, ,0,0,0,0,0,0
93424,2004,I     ,A     , ,BS    ,Health Science,      ,      ,M5P,119364,Physical Therapist                                ,1, ,0,0,0,0,0,0
93450,2002,I     ,A     , ,BSN   ,Nursing,I     ,A     ,M5S,80977,Nurse Practitioner                                ,4, ,0,0,0,0,0,0
93621,2001,I     ,A     , ,BS    ,Therapeutic Recreation,I     ,A     ,M6H,57309,                                                  ,5, ,0,0,0,0,0,0
93542,1986,I     ,A     , ,BS    ,Criminal Justice,      ,      ,M5S,80977,Sheriff                                           ,1, ,0,0,0,0,0,0
93678,2000,I     ,A     , ,BBA   ,Finance,      ,      ,M5J,92668,Sales                                             ,2, ,0,0,0,0,0,0
93779,1995,I     ,A     , ,BS    ,Economics,      ,      ,M4S,95168,Tax Preparer                                      ,1, ,0,0,0,0,0,0
93808,1999,I     ,A     , ,BS    ,Information Systems,I     ,A     ,M5J,92668,Administrator                                 ,2, ,0,0,0,0,0,0
93888,1979,I     ,A     , ,MBA   ,Business General,      ,      ,M5V,79018,Vice Pres/Sales& Finance                          ,7,10/28/2013,0,5,0,0,100,600
94030,1999,I     ,A     , ,BBA   ,Finance,      ,      ,M4P,76675,Underwriting Spec                                 ,1, ,0,0,0,0,0,0
94074,1990,I     ,A     , ,BA    ,English Language and Literature,      ,      ,M2P,132447,Teacher                                           ,2, ,0,0,0,0,0,0
94323,1989,I     ,A     , ,BBA   ,Finance,I     ,A     ,M5J,92668,                                                  ,0, ,0,0,0,0,0,0
94325,2007,I     ,A     , ,MBA   ,Business General,I     ,I     ,M4T,150692,Dean                             ,1, ,0,0,0,0,0,0
94354,1978,I     ,A     ,Parent,BS    ,Art,I     ,A     ,M4P,76675,Supply Chain,1, ,0,0,0,0,0,0
94325,1992,I     ,A     , ,BS    ,Health Science,I     ,A     ,M5R,96285,                                                  ,2, ,0,0,0,0,0,0
94337,1980,I     ,A     , ,MBA   ,Business General,      ,      ,M2N,68333,                                                  ,1, ,0,0,0,0,0,0
94382,2003,I     ,A     , ,BFA   ,Art,      ,      ,M5P,119364,Graphic Designer                                  ,0, ,0,0,0,0,0,0
94454,1974,I     ,A     , ,BS    ,Group SS Soc,      ,      ,M3B,111062,Educator                                          ,0, ,0,0,0,0,0,0
94460,2000,I     ,A     , ,BS    ,Information Systems,      ,      ,M5J,92668,"Director, Enterprise Infrastructure               ",2, ,0,0,0,0,0,0
94442,1998,I     ,A     , ,BSE   ,Engineering,I     ,A     ,M5V,79018,Product Develop  Engr                             ,2, ,0,0,0,0,0,0
94469,2003,I     ,A     , ,BA    ,English Language and Literature,      ,      ,M6M,49028,                                                  ,2, ,0,0,0,0,0,0
94609,1997,I     ,A     , ,BBA   ,Accounting,I     ,A     ,M6H,57309,                                                  ,1, ,0,0,0,0,0,0
94808,2000,I     ,A     ,Parent,BA    ,French,I     ,A     ,M5J,92668,3rd Grade Teacher                                 ,1, ,0,0,0,0,0,0
94904,2005,I     ,A     , ,BS    ,History,      ,      ,M1N,75900,                                                  ,1, ,0,0,0,0,0,0
94845,1991,I     ,A     , ,MSW   ,Social Work,      ,      ,M3H,68796,Clinician                                         ,2, ,0,0,0,0,0,0
94922,1990,I     ,A     , ,MPA   ,Public Administration,I     ,I     ,M5B,63763,                                                  ,0, ,0,0,0,0,0,0
94830,1996,I     ,A     , ,MSW   ,Social Work,I     ,I     ,M5M,135475,                                                  ,1, ,0,0,0,0,0,0
95077,1982,I     ,A     ,Parent,BS    ,Mathematics,I     ,A     ,M6M,49028,Superintendent of Schools                         ,3, ,0,0,0,0,0,0
95335,1983,I     ,A     ,Parent,BBA   ,Business General,      ,      ,M1B,65192,Vice President                                    ,1, ,0,0,0,0,0,0
95405,1983,I     ,A     ,Parent,BS    ,Special Education,      ,      ,M3H,68796,Exhibit Preparator                                ,3,1/29/1997,0,0,0,0,0,10
95495,1985,I     ,A     ,Parent,BS    ,Advertising & Public Relations,      ,      ,M4P,76675,Stategic Account Manager                          ,11,4/20/2015,0,2,0,1200,1000,3040
95460,1999,I     ,A     , ,BBA   ,Marketing,I     ,A     ,M1H,58876,CEO                                               ,0, ,0,0,0,0,0,0
95497,2002,I     ,A     , ,BS    ,Occup Safety/Health Management,I     ,A     ,M2N,68333,Manager                                           ,5, ,0,0,0,0,0,0
95649,1998,I     ,A     , ,BA    ,English Language and Literature,      ,      ,M1B,65192,Administrative Assistant                          ,2,10/25/2007,0,0,0,0,0,10
95725,2004,I     ,A     , ,BSN   ,Nursing,      ,      ,M5V,79018,Surgical Case Manager                             ,0, ,0,0,0,0,0,0
95762,2001,I     ,A     , ,BS    ,Criminal Justice,      ,      ,M6P,68781,Social Worker                                     ,0,4/23/2009,0,0,0,0,0,25
95890,1987,I     ,A     ,Parent,BS    ,Criminal Justice,      ,      ,M6P,68781,Teacher                                           ,1, ,0,0,0,0,0,0
95905,1989,I     ,A     , ,BS    ,Physical Education,      ,      ,M6H,57309,                                                  ,0,1/18/2007,0,0,0,0,0,150
96114,2000,I     ,A     , ,BS    ,Economics,      ,      ,M1H,58876,Financial Specialist                              ,1, ,0,0,0,0,0,0
96117,1993,I     ,A     , ,BS    ,Biology,      ,      ,M1N,75900,Industrial Hygienist                              ,1, ,0,0,0,0,0,0
96275,2005,I     ,A     , ,BSE   ,Engineering,      ,      ,M5V,79018,Mechanical Engineering                            ,1, ,0,0,0,0,0,0
96344,2005,I     ,A     , ,BS    ,Physical Education,      ,      ,M6P,68781,Case Coordinator                                  ,1, ,0,0,0,0,0,0
96433,2000,I     ,A     , ,BS    ,Occup Safety/Health Management,      ,      ,M2N,68333,Safety Spec                                       ,1, ,0,0,0,0,0,0
96358,2001,I     ,A     , ,BBA   ,Finance,      ,      ,M5G,51478,                                                  ,0, ,0,0,0,0,0,0
96460,2003,I     ,A     , ,BS    ,Criminal Justice,I     ,A     ,M5J,92668,Police Officer                                    ,4, ,0,0,0,0,0,0
